prompt,target,ngram,seq2seq,gpt2,t5,BLEU_ngram,ROUGE_ngram,BLEU_seq2seq,ROUGE_seq2seq,BLEU_gpt2,ROUGE_gpt2,BLEU_t5,ROUGE_t5
"look, species Joke:","Look, every species has THAT one cousin who ruins the family photo.",look species hits comeback milestone,"Look at all the species! I said, Of which I've known nothing of them. He asked, Of what species? I replied, That nobody likes their own snack.",Look at this species of snack—they look like they live on a small island.,Look at the species... but the sky is receptive to the scenery.,1.7657516777206852,0.23529411764705882,1.6276888006478718,0.15,3.4585921141027356,0.14814814814814814,3.4585921141027365,0.25
"think, lieutenant Joke:",What do you think of the lieutenant? I think he's left with tenants—which is unfortunate.,"think lieutenant patriot front extremists aiming to 'riot ' at research center kills about 21,000 fish",I think lieutenant is good… until the detective starts swearing.,I think lieutenant duty is the most peaceful assignment I've ever had—my life would be better served if I stayed.,"Think lieutenant—he’s a dog, a tee, a tee, a tee and a hat.",2.732111648124769,0.12121212121212122,5.717367666012799,0.22222222222222224,4.780204393760627,0.15384615384615383,2.2869567780619007,0.25
"mean, russian Joke:",What do you mean Russian? Cold. Vast. Incomprehensible. Very accurate metaphor.,"mean russian troops killed , sickened by poisoned food from ukraine residents , say officials","I didn’t mean to, but my sarcasm is now Russian style.",He said it meant Russian food—my sarcasm confirmed it.,"I mean russian, so that I can’t say goodbye.",2.458476536482737,0.16666666666666669,3.227633361592567,0.17391304347826086,2.7385973411104616,0.09523809523809525,2.8289458031628008,0.1904761904761905
"world, alright Joke:","The world's alright. I said, No it's not. He replied, Exactly—so why are we talking about it?",world alright pence of treason in bonkers rant,The world's alright—I’m not ready to move.,This world is alright—my excuses are piling up.,My world’s alright—and my brain’s not at all.,0.9596488401476516,0.14285714285714288,2.282442457215392,0.4,1.33737378839527,0.20689655172413793,1.33737378839527,0.3225806451612903
"around, football Joke:","What's this around football? I asked, What do you mean? He replied, Why is there a sport around this.",around football analyst when he left office,Around football—every move matters. ​,"Around football, chaos is fun… except when it's really just chaos.",I just go around football—especially football.,1.1579772050251012,0.2222222222222222,0.40410659261526566,0.16000000000000003,1.874393360516508,0.18749999999999997,0.8188135341326943,0.14814814814814817
"thanks, dear Joke:","Thanks, dear, for nothing. He asked, What did I do? I replied, Exactly.",thanks dear <s> -,"Thanks dear—I said thank you before arriving at the coffee shop. He asked, What? I replied, Why not.","Thanks, dear, for opening my fridge.","Thanks dear for visiting. He asked, Who are you? He replied, I forgot to do the rest.",0.7870921666513669,0.25,27.151607333166954,0.4375,13.760708958641525,0.3157894736842105,15.600982215771559,0.4666666666666667
"going, site Joke:",I’m going to the site… to witness chaos in person.,going site,Where are you going? Site of confusion. Nowhere to find it. Error: wrong location.,I’m going to the site—my motivation is purely to get there.,Going to the site—that’s not just my first attempt.,0.5554498269121152,0.3076923076923077,2.6643211213888947,0.23999999999999996,23.462350320527996,0.5833333333333334,8.403703759902122,0.36363636363636365
"said, australia Joke:",He said Australia is far—my excuses are farther.,said australia,"He said Australia is cool, but my soul says 'no' every time I visit.",He said I’d like Australia—then I went home and regretted it.,"He said australia was like a jungle, but they're snoring at it.",1.509869171115925,0.3636363636363636,16.188613565728215,0.43478260869565216,7.495553473355845,0.27272727272727276,6.285596338261262,0.27272727272727276
"years, colspan Joke:","Years in a colspan? I said, That's a table thing. He replied, So is my life.",years colspan our lives,"Years pass by and the colspan grows. He asked, Where? I replied, The cookie jar and the fridge.","Years ago, I’d nap, but my stomach said ‘I’m not ready.",Years in colspan—mostly my brain will never talk about my own experience.,0.22785084733777314,0.19047619047619047,6.481236440245939,0.22857142857142856,2.6957787672008857,0.20000000000000004,3.970589936217982,0.26666666666666666
"know, britain Joke:","I know Britain loves tea, but calm down—it’s just leaves in water.",know britain remains from d.c. clinic,I know British food. They’re always asking for directions.,I know British things. They just think I’m in Quebec.,I know British food is good—they are always quiet but the whole process works perfectly.,3.2530620447891696,0.19047619047619047,6.315134024688132,0.16666666666666666,7.209140348761813,0.32,5.816635421147515,0.19999999999999998
"Fire Training, Equipment Lacking At U.S. Nuclear Dump: Report Joke:",A nuclear dump's missing fire training and equipment—nothing says 'we have it under control' like being unprepared at a nuclear facility.,"fire training , equipment lacking at u.s. nuclear dump : report","Training's offline, equipment lost. That's incompetence at its worst.",The U.S. nuclear infrastructure's failing—and we're the ones who lost it.,It’s a fire training system that has a nuclear dump—the only thing I can’t do is go to a nuclear dissonance station.,4.033113082634661,0.30303030303030304,1.7502348496399052,0.1764705882352941,2.16884536516529,0.26315789473684204,5.154337627145953,0.20833333333333331
"know, fitch Joke:",I know Fitch—he’s the guy stealing my pens silently.,know fitch -,"I know how to sell snacks. He asked, Why? I replied, Because I like losing.",I know how to be fitch… for crying out loud.,I know Fitch has made me laugh... but I don’t know it.,2.6682865255867765,0.3076923076923077,4.237713199752784,0.23076923076923075,8.29519350710986,0.28571428571428564,5.412989186545263,0.24999999999999994
"said, produced Joke:","They said they produced a ""short report,"" which turned out longer than the original problem. ​",said produced -,"He said it was produced, then became a joke.","He said he produced it, but produced it slowly. That's production of regret.",It said that the product produced itself—that's what's already being produced.,0.11992991392354545,0.23529411764705882,2.4727736451295206,0.25,2.6935542467877966,0.1379310344827586,2.458873800714905,0.1379310344827586
"listen, south Joke:","Listen, south winds carry snacks and chaos.",listen south carolina mall shooting that wounded 14 people,"Listen, South is nice—my heart rate disagrees.",Listen south—my car is running on time.,Listen to the south. My head wants to move forward. Then there's the South.,4.767707020457095,0.25,10.552670315936318,0.26666666666666666,5.795599612995366,0.26666666666666666,3.009804384352828,0.18181818181818182
"hello, county Joke:","Hello, county fair—I came for the food, stayed for confusion.",hello county during traffic stop,"Hello county—my GPS is confused. I asked, Who? He replied, The county commissioner.","Hello? Where are you from? He asked. I replied, From the county.","Hello county, the snow doesn't keep coming out until the water turns back.",2.156693969393992,0.25000000000000006,3.211547431691929,0.32,3.4197980307804725,0.2608695652173913,3.9297193407553004,0.23999999999999996
"please, marriage Joke:","Please remember, marriage is not a bug fix for your personality. ​",please marriage ruling,Please marry me—my life is overrated.,Please don’t marry me—my sanity disagrees.,Please let your marriage go—that's the problem.,0.70335269181743,0.28571428571428575,3.1795892263857453,0.2222222222222222,2.8730831956184355,0.10526315789473685,3.689111847432509,0.19999999999999998
Biden's Ex Daughter-In-Law Opens Up About Marriage To Hunter Joke:,Hunter's ex opened up—that marriage had more red flags than a parade.,biden 's ex daughter-in-law opens up about marriage to hunter record $ 4.65 billion,An ex had a baby—but didn't want to make a career of breaking up.,Biden's ex married to Hunter—that's the most honest thing about it.,Biden's ex-law went on a romance—that's a bad one—because he's still married.,3.377156414337854,0.3333333333333333,3.716499092256817,0.19999999999999998,3.7052472057637615,0.21428571428571427,3.673526562988939,0.25
"stuff, thank Joke:",Thanks for the stuff… I’ll pretend I know what it’s for.,stuff thank her sexual harasser,"Things… thank you. For what? Nothing. Gravity. Compassionlessness. The only answer is ""you regret everything.""",Stuff is funny—thank goodness for not making my problems worse.,Something to thank for... I just want to get a lot of work done to avoid this.,0.0,0.1111111111111111,1.958224832501124,0.21428571428571427,4.069582841180382,0.16666666666666669,4.019656738893367,0.20000000000000004
"FBI Arrests Baltimore Police Officer For Allegedly Selling Ghost Gun, Drugs Joke:",A cop selling ghost guns—the irony of the irony.,"fbi arrests baltimore police officer for allegedly selling ghost gun , drugs : paul haggis detained in italy in sex assault case","Baltimore cops arrested a Ghost Gun guy—that's not good police, that's bad law enforcement.",Baltimore police arrested an officer for selling a ghost gun—that's basically a cover-up.,A Baltimore police officer accused of selling drug possession—but nothing was done for a woman's job.,3.4544475984335747,0.2,2.445593937240363,0.22222222222222224,3.737437943747671,0.23076923076923075,3.2342452920962157,0.14285714285714285
"look, lake Joke:","Look at that lake—calm, peaceful… unlike my life.",look lake walked away from a career in journalism. now she 's running for governor by bashing the media .,You look like you need water and a break.,Look at the lake. It's like being a fish in a lake. Depth. Very deep. Very life-like.,Look at the lake—and it’s not just water.,1.8160849415439309,0.14285714285714285,4.196114906296549,0.1111111111111111,3.8229746997386345,0.2857142857142857,9.442944296079734,0.3157894736842105
"know, turbo Joke:",I know Turbo… he zooms past my plate.,know turbo <s> -,You know the turbo doesn’t start until it’s just three quarters of the way up your lungs. ​,I know Turbo is turbocharging me… mostly from the snacks.,"I know the turbo is a bit slow, but my brain has a long history.",4.923026124015933,0.36363636363636365,2.4074859035470344,0.14814814814814814,8.29519350710986,0.33333333333333326,5.439330544349821,0.3478260869565218
"stay, known Joke:",Stay known for your snack generosity.,stay known in their pool,Stay known—my confidence knows no limits.,Stay known—my phone dies.,Stay known—that's not the way people's habits live.,7.16047614494885,0.3636363636363636,7.809849842300637,0.30769230769230765,8.51528917838043,0.3636363636363636,5.669791110976001,0.23529411764705885
Defenders Inside Mariupol Steel Plant Refuse To Surrender To Russian Forces Joke:,"Ukrainian soldiers won't surrender in Mariupol—that's brave, that's noble, and that also sounds like the plot of a war movie that doesn't end well.","defenders inside mariupol steel plant refuse to surrender to russian forces target airports in western ukraine , biden faces 'headwinds ' on climate change",Steel workers rejected Mariupol—that's the irony no one asked for.,A Ukrainian plant refused to surrender—that's surrender you negotiate for.,"Unlike Russia, the Steel Plant got damaged and the buildings were left to threaten.",1.827272198658944,0.0784313725490196,1.1517360486300823,0.1951219512195122,1.1517360486300823,0.1951219512195122,1.7390893302921315,0.09302325581395349
"hello, american Joke:","Hello, American friend—yes, I also enjoy oversized everything.",hello american girl doll-core,Hello American… my snacks are American.,"Hello American, I'm not Indian—American people love Indian food.","Hello American. I asked, What? I replied, Why? He replied, Why? I replied, I’m talking.",0.0,0.2857142857142857,4.880869806051147,0.26666666666666666,5.300156689756295,0.3,2.46233736722218,0.24000000000000005
Texas Sues Biden Administration For Right To Deny Life-Saving Abortions Joke:,Texas is suing for the right to let women die—that's the health care they want.,texas sues biden administration for right to deny life-saving abortions : trudeau,The Texas suing Biden over abortions—that's political desperation with nothing to lose.,Biden sued the administration for denying abortions. That's fair.,Biden voted for abortion—that's a state.,5.3707987537395825,0.27586206896551724,3.468317761317914,0.2580645161290323,3.1307431721723757,0.29629629629629634,2.1590567826234346,0.24
"guess, stop Joke:",I guess stop signs are suggestions anyway.,guess stop challenge to her rumored breakup with zach braff,"Guess what? Stop talking. I said, Stop wasting me. He replied, What? Stop asking me to stop.",I guess it’s a guess—because the clock is running too late.,"I guess stop to stop, I am sure.",8.392229812593097,0.23529411764705882,2.0705706652424007,0.16666666666666666,7.495553473355845,0.2,16.784459625186194,0.39999999999999997
"please, although Joke:","Please, although reluctant, I will attend… maybe.",please although with big launch,"Please, although my wallet disagrees, my excuses sound like they’re actually real.","Please, I’m a professional. I can't see it. I'm not qualified. I know better.","Please, although I can't be sucked away in the bathroom.",3.929752628321626,0.3333333333333333,11.114924776032012,0.2,4.814971807094068,0.16666666666666666,14.323145079400492,0.33333333333333326
"wrong, national Joke:",Wrong national anthem… my ears are traumatized.,wrong national police chief pete arredondo resigns from film academy over oscars slap,I did the wrong national anthem. I wasn’t there at the wrong time. I'm not even sure who did it.,"You're wrong about national holidays. They're always wrong. I asked, Why? He replied, Because it’s mandatory for everyone.","I’m wrong, but nationality is very unpredictable.",3.0890553181566975,0.2,1.958224832501124,0.20689655172413793,1.8709718017288024,0.14285714285714285,4.767707020457095,0.26666666666666666
"going, played Joke:",I’m going to play… mostly with my feelings.,going played banner,I’m going to play… mostly to nap.,"You going to play? I asked, What? He replied, Not for me.",Going to play... I guess the time lags.,3.7238938287986976,0.3333333333333333,47.750342648354646,0.7058823529411765,5.061867434834413,0.28571428571428575,4.02724819242185,0.35294117647058826
"good, initially Joke:",It was good initially—until reality joined the chat.,good initially is already ratings king after most-watched hbo premiere ever,That's good initially… my motivation died… and then I realized it was actually really bad.,A good initial idea quickly becomes a mediocre one. ​,"It's good initially, but still really.",3.7477767366779213,0.1904761904761905,3.21858262703621,0.16,4.456882760699063,0.2222222222222222,5.795599612995366,0.375
"right, create Joke:","You’re right, I should create… chaos, art, or dessert—your choice.",right create <s> -,"You’re right, create a world… with Wi-Fi and coffee and snacks.","You’re right, the creators were right—I made mistakes.","You’re right, create something... just a poem.",2.139538333930869,0.26666666666666666,11.441379977544633,0.32,11.25095974863814,0.3636363636363636,11.46643659788751,0.4
"think, planet Joke:",I think this planet is weird—half of it is asleep while the other half argues online.,think planet <s> jared kushner dismissed white house,"I think the planet is really close to Earth. He asked, How? I replied, That it's on a tiny corner of my imagination.",Think about planet Earth—it’s just the wrong one.,Think planet is changing—not just planet.,2.4779853471705344,0.15999999999999998,4.344109103419242,0.24390243902439027,2.5795879170461364,0.29629629629629634,3.4835119683384828,0.25
New Law Makes Period Products Free For All In Scotland Joke:,Scotland's really putting their money where their menstruation is.,new law makes period products free for all in scotland,Scotland's getting period products—they're basically getting period products for free.,Period products are free—except for menstruating babies.,A new law makes Period products free for all in Scotland—the rules come from a new law.,0.0,0.10000000000000002,4.456882760699063,0.17391304347826086,4.300847718252331,0.11111111111111112,2.1476912089159055,0.07142857142857142
"wrong, london Joke:",Everything's wrong in London. Big Ben is just a clock mocking our mortality. Tick-tock.,wrong london,"Wrong London. We're here, trapped in this. We're here trapped in another location. Our destination destroyed itself.","You’re wrong London, but you’re right London. I’m looking back at this mess in an awkward way.","I'm wrong, London is a beautiful place. Then my heart needs it. I asked, How can I say, It's bad... then I'm just stupid.",0.02765421850739168,0.2222222222222222,4.34373789135831,0.17142857142857143,4.814971807094068,0.11111111111111112,1.8888209302404182,0.18604651162790697
"east, want Joke:","I want to go east, but my GPS has trust issues.",east want to ban russian oil giant over ukraine war rages in neighboring ukraine,"If you want a destination, your GPS will tell you to leave. That's the problem.",I want east. I'm looking for the cold. The cold is like a bad trip. We're in a relationship.,East want to make money—you're just the way I want to go.,6.285596338261262,0.16,3.211547431691929,0.14814814814814814,3.9164496650022476,0.18749999999999997,20.44800736021839,0.32
"lost, hello Joke:","I said 'hello' to my GPS, but even it thinks I’m lost.",lost hello <s> selena gomez developing reboot of '80s classic 'working girl ',I lost my way—hello—but I still manage to ignore the snacks and make life miserable.,Lost in a conversation… hello again.,You lost it—maybe hello.,2.627961710408444,0.08,3.6570159134143823,0.26666666666666666,2.4159653599212296,0.10526315789473684,2.099844458473431,0.1111111111111111
"thank, primary Joke:",Thank the primary school system. For teaching us to fail early and often. Good foundations.,thank primary,Thank primary—my snack stash got fortified.,"Thank the primary for teaching me to be gentle. He asked, What do you mean? I replied, Your existence teaches you things.",Thank primary students for ignoring them.,0.01677313139512559,0.23529411764705882,1.6224821466016939,0.18181818181818182,6.384875295507791,0.3243243243243243,1.7955716566806617,0.28571428571428575
"thing, eddie Joke:",The thing about Eddie? He's thinking too. We're all thinking. Nothing changes.,thing eddie munson of 'stranger things ' creators admit they made huge continuity error in season 4,The thing about Eddie is his loyalty toward chaos and entropy.,"The thing about eddie is it’s very emotional. He asked, How emotional? I replied, Very emotional.",It's something I don't like—that's how people don't know what's the problem.,2.2869567780619007,0.13333333333333333,16.06243474117786,0.32,8.039313477786735,0.3225806451612903,2.452471008337642,0.0625
"want, district Joke:","I want my district to be world‑famous, but maybe not for its traffic jams. ​",want district,"I want to go from district to district, but my GPS refuses to cooperate.","I want to be a district kid. My sister asked, Why? I replied, Because the district is my hobby.",I want to get from your district—and the street is a good choice.,0.039108970869982385,0.23529411764705882,8.551971623037383,0.3448275862068965,5.291907393644995,0.23529411764705882,5.451525752850335,0.20689655172413796
"know, outer Joke:",I know outer—space. There's a better option. Vacuums are honest.,know outer <s> -,"I know the outer world is scary. Everything looks very different. He asked, About that? I replied, That's all I know.",I know the outer world exists—but the inside refuses to cooperate.,I know outer space is my favorite and my friends are my friends.,2.5275658895144484,0.4,3.4901807086831904,0.23529411764705885,6.8962421077164695,0.25,6.754312828675707,0.4
"please, various Joke:","Please select from various options, all of which somehow lead to ""contact support."" ​","please various york poised to restrict abortion , other nations ease access","Please don’t send me emails asking for advice, but instead use a personality simulator. ​","Please don’t include me. I asked, Why? He replied, Because my patience disagrees with yours.",Please vary me with different perspectives.,2.7032360411086658,0.24999999999999994,3.049483026556587,0.07142857142857144,2.5197593442434796,0.06896551724137931,1.6224821466016939,0.10526315789473684
"come, avenue Joke:","People come to the fancy avenue for photos, then run away from the fancy prices. ​",come avenue -,Come on—the avenue is beautiful. We're in it together. Into something new. Into existing. Very romantic and dramatic.,"Come see this avenue. I asked, Why? He replied, To avoid looking at me.","Come to the avenue, the sky looks like a big window.",0.23359157588964669,0.23529411764705882,1.958224832501124,0.17142857142857143,2.6643211213888947,0.1379310344827586,5.534770987684911,0.3846153846153846
Maryland Lawmakers Override Governor's Veto Of Abortion Expansion Joke:,Maryland overrode an abortion veto—that's democracy working for once.,maryland lawmakers override governor 's veto of abortion expansion <s> nfl seeks arbitration for flores ' racial discrimination suit,Maryland legislators acted like they needed one more abortion option—and apparently they didn't like the idea.,Maryland Republicans are backing abortion rights—they're basically saying 'we're not going to ignore you.',Maryland lawmakers repealed the abortion rule—and the court's getting better.,2.159701133933343,0.27586206896551724,3.009804384352828,0.13793103448275862,3.21858262703621,0.14285714285714285,4.9323515694897075,0.2608695652173913
"little, appointed Joke:",I was a little appointed… then disappointed.,little appointed -,Little appointed task—turns out it's supposed to be fun.,"I’ll be tiny, appointed as a member of the government. ​",Little appointed—that's really a tiny bit of a person.,5.197112497172873,0.4444444444444445,4.196114906296549,0.2222222222222222,3.673526562988939,0.2222222222222222,4.990049701936832,0.2222222222222222
"together, hurt Joke:",Together we hurt. Mutual pain. At least we're honest.,together hurt <s> -,Together we hurt. We're in a room. The table is broken. Parted. Words can't change reality.,"Together, hurt. The universe disagrees. Mutual respect.","I’m together—hit. My heart. You know what? I replied, We’re tired of life.",2.9859662827819125,0.30769230769230765,12.58220555845937,0.35714285714285715,10.71174444166974,0.3529411764705882,2.8265205879007453,0.23076923076923075
Chelsea Handler On Ending Relationship With Jo Koy: 'I Have To Choose Myself' Joke:,She chose herself—and honestly that's the best choice ever.,chelsea handler on ending relationship with jo koy : 'i have to choose myself ',Chelsea finally chose self-esteem—nobody should talk about that with their life.,"Handler's ending romance with Koy—and Twitter's trending for ""wholehearted, honest disappointment.""",Chelsea had to choose himself—which is why she's arguing.,0.0,0.0,4.02724819242185,0.16666666666666669,2.627961710408444,0.16,4.196114906296549,0.18181818181818182
"know, purchase Joke:",I know that purchase was impulsive—my bank texted me immediately.,"know purchase could increase number of people without enough to eat if you 're gay or transgender , i love you !","I know about your purchase, but still wait to realize it’s expired.",You know buying things… they're expensive.,I know the purchase is good—this money is a mistake.,2.0540268312306345,0.12903225806451613,6.754312828675707,0.24999999999999994,4.410363736106611,0.1111111111111111,8.913765521398126,0.2727272727272727
"word1,, word2 Joke:",joke,word1 word2 court sides with government in gitmo state secrets case,,Words matter… even in dreams.,Words say word2 and word2 are likened to word2.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
