prompt,target,ngram,seq2seq,gpt2,t5
"please, although
Joke:","Please, although reluctant, I will attend… maybe.",please although with big launch,"Please, although my wallet disagrees, my excuses sound like they’re actually real.","Please, I’m a professional. I can't see it. I'm not qualified. I know better.","Please, although I can't be sucked away in the bathroom."
"wrong, national
Joke:",Wrong national anthem… my ears are traumatized.,wrong national police chief pete arredondo resigns from film academy over oscars slap,I did the wrong national anthem. I wasn’t there at the wrong time. I'm not even sure who did it.,"You're wrong about national holidays. They're always wrong. I asked, Why? He replied, Because it’s mandatory for everyone.","I’m wrong, but nationality is very unpredictable."
"going, played
Joke:",I’m going to play… mostly with my feelings.,going played banner,I’m going to play… mostly to nap.,"You going to play? I asked, What? He replied, Not for me.",Going to play... I guess the time lags.
"good, initially
Joke:",It was good initially—until reality joined the chat.,good initially is already ratings king after most-watched hbo premiere ever,That's good initially… my motivation died… and then I realized it was actually really bad.,A good initial idea quickly becomes a mediocre one. ​,"It's good initially, but still really."
"right, create
Joke:","You’re right, I should create… chaos, art, or dessert—your choice.",right create <s> -,"You’re right, create a world… with Wi-Fi and coffee and snacks.","You’re right, the creators were right—I made mistakes.","You’re right, create something... just a poem."
"think, planet
Joke:",I think this planet is weird—half of it is asleep while the other half argues online.,think planet <s> jared kushner dismissed white house,"I think the planet is really close to Earth. He asked, How? I replied, That it's on a tiny corner of my imagination.",Think about planet Earth—it’s just the wrong one.,Think planet is changing—not just planet.
"New Law Makes Period Products Free For All In Scotland
Joke:",Scotland's really putting their money where their menstruation is.,new law makes period products free for all in scotland,Scotland's getting period products—they're basically getting period products for free.,Period products are free—except for menstruating babies.,A new law makes Period products free for all in Scotland—the rules come from a new law.
"wrong, london
Joke:",Everything's wrong in London. Big Ben is just a clock mocking our mortality. Tick-tock.,wrong london,"Wrong London. We're here, trapped in this. We're here trapped in another location. Our destination destroyed itself.","You’re wrong London, but you’re right London. I’m looking back at this mess in an awkward way.","I'm wrong, London is a beautiful place. Then my heart needs it. I asked, How can I say, It's bad... then I'm just stupid."
"east, want
Joke:","I want to go east, but my GPS has trust issues.",east want to ban russian oil giant over ukraine war rages in neighboring ukraine,"If you want a destination, your GPS will tell you to leave. That's the problem.",I want east. I'm looking for the cold. The cold is like a bad trip. We're in a relationship.,East want to make money—you're just the way I want to go.
"lost, hello
Joke:","I said 'hello' to my GPS, but even it thinks I’m lost.",lost hello <s> selena gomez developing reboot of '80s classic 'working girl ',I lost my way—hello—but I still manage to ignore the snacks and make life miserable.,Lost in a conversation… hello again.,You lost it—maybe hello.
"thank, primary
Joke:",Thank the primary school system. For teaching us to fail early and often. Good foundations.,thank primary,Thank primary—my snack stash got fortified.,"Thank the primary for teaching me to be gentle. He asked, What do you mean? I replied, Your existence teaches you things.",Thank primary students for ignoring them.
"thing, eddie
Joke:",The thing about Eddie? He's thinking too. We're all thinking. Nothing changes.,thing eddie munson of 'stranger things ' creators admit they made huge continuity error in season 4,The thing about Eddie is his loyalty toward chaos and entropy.,"The thing about eddie is it’s very emotional. He asked, How emotional? I replied, Very emotional.",It's something I don't like—that's how people don't know what's the problem.
"want, district
Joke:","I want my district to be world‑famous, but maybe not for its traffic jams. ​",want district,"I want to go from district to district, but my GPS refuses to cooperate.","I want to be a district kid. My sister asked, Why? I replied, Because the district is my hobby.",I want to get from your district—and the street is a good choice.
"know, outer
Joke:",I know outer—space. There's a better option. Vacuums are honest.,know outer <s> -,"I know the outer world is scary. Everything looks very different. He asked, About that? I replied, That's all I know.",I know the outer world exists—but the inside refuses to cooperate.,I know outer space is my favorite and my friends are my friends.
"please, various
Joke:","Please select from various options, all of which somehow lead to ""contact support."" ​","please various york poised to restrict abortion , other nations ease access","Please don’t send me emails asking for advice, but instead use a personality simulator. ​","Please don’t include me. I asked, Why? He replied, Because my patience disagrees with yours.",Please vary me with different perspectives.
"come, avenue
Joke:","People come to the fancy avenue for photos, then run away from the fancy prices. ​",come avenue -,Come on—the avenue is beautiful. We're in it together. Into something new. Into existing. Very romantic and dramatic.,"Come see this avenue. I asked, Why? He replied, To avoid looking at me.","Come to the avenue, the sky looks like a big window."
"Maryland Lawmakers Override Governor's Veto Of Abortion Expansion
Joke:",Maryland overrode an abortion veto—that's democracy working for once.,maryland lawmakers override governor 's veto of abortion expansion <s> nfl seeks arbitration for flores ' racial discrimination suit,Maryland legislators acted like they needed one more abortion option—and apparently they didn't like the idea.,Maryland Republicans are backing abortion rights—they're basically saying 'we're not going to ignore you.',Maryland lawmakers repealed the abortion rule—and the court's getting better.
"little, appointed
Joke:",I was a little appointed… then disappointed.,little appointed -,Little appointed task—turns out it's supposed to be fun.,"I’ll be tiny, appointed as a member of the government. ​",Little appointed—that's really a tiny bit of a person.
"together, hurt
Joke:",Together we hurt. Mutual pain. At least we're honest.,together hurt <s> -,Together we hurt. We're in a room. The table is broken. Parted. Words can't change reality.,"Together, hurt. The universe disagrees. Mutual respect.","I’m together—hit. My heart. You know what? I replied, We’re tired of life."
"Chelsea Handler On Ending Relationship With Jo Koy: 'I Have To Choose Myself'
Joke:",She chose herself—and honestly that's the best choice ever.,chelsea handler on ending relationship with jo koy : 'i have to choose myself ',Chelsea finally chose self-esteem—nobody should talk about that with their life.,"Handler's ending romance with Koy—and Twitter's trending for ""wholehearted, honest disappointment.""",Chelsea had to choose himself—which is why she's arguing.
"know, purchase
Joke:",I know that purchase was impulsive—my bank texted me immediately.,"know purchase could increase number of people without enough to eat if you 're gay or transgender , i love you !","I know about your purchase, but still wait to realize it’s expired.",You know buying things… they're expensive.,I know the purchase is good—this money is a mistake.
"word1,, word2
Joke:",joke,word1 word2 court sides with government in gitmo state secrets case,,Words matter… even in dreams.,Words say word2 and word2 are likened to word2.
"else, road
Joke:","Anything else? No, the road already has enough potholes.","else road to recovery , ' 'drive my car ' win top prizes at independent spirit awards",The road looks like it’s a haunted house—like someone took you to a different reality.,"If anything, this road is the final stop. It’s where disappointment leaves.",We're another road route. We're all headed around. It's an old road.
"could, gordon
Joke:",Could Gordon help? Nobody knows. Gordon disappeared mentally in 1995.,"could gordon shore up postal service , delivery",Could Gordon fix this? Absolutely. He's already saying 'didn't give up.',Did Gordon survive? Probably. Gordon still looks lost.,"Could gordon do that? He replied, But I'm still confused."
"The 20 Funniest Tweets From Women This Week (May 21-27)
Joke:",Women's tweets killed—they're basically processing society through humor.,the 20 funniest tweets from women this week ( may 21-27 ),Women's funny tweets aren't the answer to women's stress—they're just an excuse to laugh at life again.,Women joke about things—that's their way of life.,"Women Tweeted—they're funny, but women's Tweets are the most."
"give, lieutenant
Joke:","Give me a lieutenant. I said, For what? He replied, To have someone below me on the ladder.",give lieutenant <s> -,"Give me a lieutenant. He said, I could give up on you. I replied, I could.",Give me a lieutenant—I need motivation.,Give him lieutenant—my brain said 'til you give up 'til you give me'.'
"thanks, understand
Joke:",Thanks for trying to understand me—it’s a full-time job.,thanks understand <s> how much do tiktok beauty influencers make for sponsored content ?,"Thanks, understand; I know this happened. We're confused now. Mutual regret for not understanding now.","Thanks, understand… for my failure.",Thanks for understanding. It's the whole process. It's really a matter of how I'm talking about.
"need, academy
Joke:",I need an academy just to manage my procrastination skills.,need academy over oscars snub in netflix 's 'rescued by ruby ' euthanized,"I need an academy in life to know I belong. He asked, Why? I replied, To learn how to procrastinate efficiently.","Need academy? We're not looking for it. We're just waiting for the exam. He asked, What? I replied, To do it well.","I need the academy. I’m in the mood. I said, We don’t get tired of it."
"The Funniest Tweets From Parents This Week (May 28-June 3)
Joke:",Parents' tweets killed—because exhaustion is the funniest drug.,the funniest tweets from parents this week ( may 28-june 3 ),Parents' tweets—also hilarious—are probably the funniest moments in parenting history.,Parents' tweets went viral—family humor included.,Parents' tweets are hilarious—especially those that do not count for them.
"know, score
Joke:",You know your score is bad when the curve becomes a rumor. ​,"know score charge trump , gop rep. madison cawthorn receives a brutal election reality check",I know my score—it’s too low. Too bad my heart rate is a scorecard.,I know my score… mostly because I'm good at procrastination.,"I know the score is a hard one, but my heart never said, 'I'm the quickest one to hit.'"
"thank, field
Joke:",Thank the field for being muddy; my shoes now look like modern art.,thank field ',Thank the field. It has a history of teaching you how to ignore it.,Thank the field for being the field of error. My GPS gave up instantly.,Thank the field for allowing me to do some other stuff.
"Dave Chappelle Rejects His High School's Offer To Name Theater After Him Amid Controversy
Joke:",Chappelle said no to the theater—his reputation's still complicated.,dave chappelle rejects his high school 's offer to name theater after him amid controversy fans gleefully pounce on it,"Chappelle rejected a high school offer—that's theater, and also an apology.",He agreed to play a theatre—that's his dignity.,Chappelle rejected an offer to name a theater after a controversy—that's something he's talking about.
"hear, control
Joke:",I can’t hear you—I’m trying to control my chaos.,hear control protections,You hear the commands? They're programmed into your brain and never stop.,Hear what you hear—control and chaos.,"I hear control—my head stops. I replied, My boss said, My brain stops."
"john, supposed
Joke:",John supposed to help? He’s napping too.,john supposed,"John said something? I replied, Not supposed. He said, It was his fault. I said, It's my fault? He replied, And also your fault.",John supposed to eat… or nap.,"A boy should be supposed to eat a meal, and I'm supposed to be thinking about it."
"take, population
Joke:",Take population into account… and double the snacks.,"take population grows in suburbs , shrinks in cities",I took the population as an excuse to think I could do better than the rest of you. ​,"Take population. Look, the population's rising. Very dramatic. That's the planet's saying 'hi' to everyone.",Take a population to see them; the population is a mystery.
"wrong, august
Joke:",Wrong turn in August—summer vacation officially ruined.,"wrong august as employers add 315,000 jobs","Did August say April? I said, April is summer for me. He replied, Then why don't you show up early?",You’re wrong—August is hot.,I’m wrong. The august is august. Rather than that.
"The Supreme Court Just Made It More Likely Innocent People Will Be Executed
Joke:",The Court made executions easier—that's not how justice is supposed to work.,the supreme court just made it more likely innocent people will be executed to world video game hall of fame decision,The court says executions are justified—that's literally saying 'this is just a court joke.',The Court's ruling—legalized murder. That's justice without the prison.,The Supreme Court's making it more likely that innocent people will be executed—that's not a case.
"phone, season
Joke:",Phone season is here—notifications breed like rabbits.,phone season after betting on nfl games,"My phone is calling me every season. I asked, Why? He replied, To avoid spoilers.","Phone season. We're playing together. He asked, How? I replied, We're just trying to find a way to get back to the real thing.","Phone, season, and all of life. All day. You’re not a kid. Often you want to get lost."
"right, addition
Joke:","You’re right, addition is easy—until numbers start acting shy.","right addition ' fails the bechdel test , and twitter users have thoughts","You’re right, addition sounds impressive when you add four more notes. ​","You’re right, I added an extra option—it added excitement.","You're right, additions are not important—it's just my main task."
"understand, river
Joke:",I understand the river—it just keeps flowing away from problems.,understand river,I understand the river—turns out life is hard on this one.,Understand the river—my snacks are drowning.,I understand the river—it's like a lake craziness.
"talking, beautiful
Joke:","We're talking about beautiful things. I said, Are we? He replied, No, we're not.",talking beautiful make school lunches,Talking beautiful things is optional—you’ll just be talking about chocolate.,Talk is beautiful when you’re just a smiley person staring at a screen. ​,I’m talking about beautiful moments—or a trip to the end of the day.
"think, arthur
Joke:",I think Arthur was brave… unlike me and deadlines.,think arthur to be heard by la jury,I think Arthur came for the snacks… with wings.,I think Arthur lived long enough. He wasn't born to be a legend. He was born to live in delusion.,Think arthur is just the way it makes sense—that’s how the universe is doing.
"good, whoa
Joke:","It’s all good until the teacher says ""pop quiz,"" and the whole class collectively says ""whoa."" ​",good whoa at political comeback,"That’s good, whoa—I’m tired of hearing someone say ""whoa"" at a concert.","That's good—whoa. I asked, What? He replied, Good—whoo, we're all bad.",I am good at whoa... for the snooze.
"Kody Clemens, Roger Clemens' Son, Set To Make Major League Debut With Detroit Tigers
Joke:",Kody's making his debut—let's see if he inherited more than just the name.,"kody clemens , roger clemens ' son , set to make major league debut with detroit tigers mar-a-lago",A Kody Clemens son made Major League debut—that's talent for a minor league manager.,Clemens's going to make a major league debut—and it's a legend.,Clemens' son is setting up a major league fight with Detroit—the Tigers were supposed to be in control.
"need, works
Joke:",I need works to finish themselves while I nap.,need works story ' with the aap 's new breastfeeding guidelines,Need work? I can’t get it done—I’ll sleep with snacks.,"Need a work break? He said, No, but I could’t leave the office unless I had to.","We need works... for me, but not for me."
"maybe, district
Joke:",Maybe this district is fine… my mood says otherwise.,maybe district,Maybe the district will celebrate me with snacks.,Maybe the district isn't as important as you think it is. ​,"Maybe the district isn’t crowded, but I don’t like it."
"sleep, believe
Joke:",I sleep so much I believe I’m part bear.,sleep believe <s> -,"Is sleep convincing? He said yes. I replied, The truth is I'm still pretending it.",I sleep very well—until the owl attacks.,"Sleep—believe me. I asked, I don't like it. He said, He replied, You're the answer."
"make, center
Joke:",Make the center piece look good so everyone ignores the rest.,"make center kills about 21,000 fish",I make my center circle work best. My confusion is the opposite.,"Make a center of chaos—with cookies, wine and snacks.",Make your center look beautiful—I don’t know when to turn up and start working.
"want, heaven
Joke:",I want heaven… or at least an eternal chocolate supply.,want heaven -,I want heaven… with snacks and responsibilities.,I want heaven… but my schedule demands it.,"I want heaven. My body is right now. I said, I didn't want heaven."
"happened, chuckles
Joke:","What happened there? He chuckles. I asked, Is that an answer? He replied, No, it's a coping mechanism.",happened chuckles -,"I did that joke; chuckles confused everyone, including myself.","I was just chuckling. He asked, Why? I replied, Because you’re a comedian.",I happened to laugh—all chuckles are really a coincidence.
"told, august
Joke:","He told me something in August. I asked, What? She replied, That he'd tell me in August—very cryptic for a month that's just hot.","told august as employers add 315,000 jobs","They told me August was the month I needed to escape. I asked, What? He replied, It's a month that starts screaming at my conscience.","I told August what I thought. She replied, It was July's deadline.",I told August when the weather was terrible—it’s a cliche.
"As War Rages, Paralympics To Open In Beijing Without Russia
Joke:",The Paralympics are opening without Russia. That's justice for disabled athletes.,"as war rages , paralympics to open in beijing without russia launches fight for industrial heartland , ukraine says",Paralympians have Olympic rights—and that's literally nothing.,Paralympics shut down in Beijing without Russia. That's what the Olympic spirit says—unlike anything we've seen before.,Peking's ready for paralympics—as a country is already battling war.
"hello, united
Joke:","Hello, United Nations—did you fix anything today or just meet again?","hello united <s> after delay , biden readies student loan help , payment pause","Hello, United States—I’m still here. We're divided into small teams.","Hello, united—my brain disagrees.",Hello united... but I’m pretty sure I can.
"nice, company
Joke:",That's nice company. You collect people the way cemeteries collect complaints.,nice company,Nice company. There's not a smile here. We're still having to explain why we joined.,"Nice company—close, proud, professional. The company is the only one who's ever complained.",I'm nice—my company is busy making it into a good place.
"right, thousand
Joke:","You’re right, a thousand apologies still won’t fix my WiFi.",right thousand brutal election reality check,"You’re right, I’m right, the numbers are small. I asked, Why? He said, Because they're useful.","You’re right, the thousandth time, I’m still crying.","You’re right, I’m a thousand people. They ask, Why? I replied, Why? I replied, It’s all a question."
"know, nope
Joke:","I know the answer… nope, still confused.",know nope owned by canadian mining company,I know nope—my motivation for failing is more than just motivation.,"I know I’m a nope, but my nap schedule's just one more disappointment. ​","I know nope? He asked, I'll have to wait to see what happens next."
"think, appeared
Joke:",Think appeared. It did. Unwanted. Surprise disappointment.,think appeared rules tokyo court,I think I appeared briefly and suddenly I’m regretting my decision.,Think appeared in my mind. Turns out it was a typo.,Think appeared—that's what came if I could be in the conversation.
