word,frequency
port,241
wine,303
neither,305
glass,345
head,1815
promise,615
blond,29
peach,28
small,2830
beer,266
reforming,5
swedish,183
word,1079
bridge,428
gives,376
creeps,24
great,3583
big,2654
spiderweb,1
awfully,74
those,3353
buildings,252
open,1490
eyes,855
scares,29
high,1941
ants,36
woolworth,2
love,4422
harm,158
west,1220
die,1092
end,2022
spend,374
most,3037
crazy,961
fools,53
tricks,72
tough,316
forgive,275
okay,8283
try,1824
change,1159
lot,2350
week,1251
bells,74
six,1277
o,1299
clock,256
lingo,6
belong,181
sailing,87
rats,81
our,5648
family,2526
sailors,38
brothers,340
buried,240
sailboat,5
drowned,45
sooner,142
swallow,56
beefing,1
scared,450
hurt,885
were,12277
overboard,22
sentiment,21
pa,184
fix,404
toddy,1
pull,545
boots,74
first,7193
cry,233
sob,8
heave,10
late,1531
makes,1095
things,2637
altogether,46
worst,280
sort,735
strange,345
tonight,1381
visit,365
someplace,88
forgotten,138
happened,1961
anymore,649
base,423
happy,1288
sell,431
sometime,122
along,1312
married,1265
picture,590
somehow,208
natural,392
loving,123
act,713
god,3576
preachers,4
ahoy,18
scare,113
course,2295
sound,786
rope,66
alongside,126
scut,2
belongs,142
johnson,225
cabin,128
fellas,148
sir,3275
doing,3749
couple,1015
fast,611
quick,387
these,4614
their,6245
steamer,11
wrecked,31
storm,267
brings,163
inside,906
tub,41
anyhow,26
matt,277
burke,45
dreaming,61
dream,541
taking,1141
needing,42
meant,534
mermaid,14
torment,13
flesh,136
less,764
handsome,117
starting,460
through,3235
telling,787
strength,279
guts,83
scoffed,3
fishes,20
sleep,815
weak,181
lick,37
any,4804
tied,177
behind,968
hands,908
fight,805
stubborn,32
care,1793
language,517
making,1207
whisht,1
milady,5
kisses,39
tiredness,1
bones,148
kiss,409
moment,770
killed,1415
faith,279
bit,1307
crack,126
thick,113
skull,97
glory,79
power,1276
arms,321
shoe,106
soles,5
decent,115
rather,759
bless,106
clumsy,63
ape,17
arm,300
forgetting,53
times,1417
brought,918
spot,291
queer,35
forecastle,5
bunk,37
hurry,484
hardly,199
break,892
pieces,254
crew,364
lift,217
fist,36
bed,712
trick,227
mulligan,12
pie,106
food,871
sight,175
face,1189
blarney,2
gasbag,2
pick,658
shame,180
angel,234
sting,47
wasp,10
darning,1
voice,598
foghorn,3
holding,327
underdrawers,1
jealous,169
burn,238
guilty,303
bully,25
galoot,2
ahold,23
wears,95
wave,179
goodbye,346
supper,84
almost,981
ready,1401
measure,108
sweater,47
save,698
praying,55
miracle,128
prayers,53
answered,50
hating,20
measurements,27
wear,462
sake,263
throat,205
made,3716
blessed,81
dock,46
fun,905
finished,586
won,1096
capital,321
prize,269
test,501
lungs,43
bellows,8
husky,13
wind,370
watch,1065
chest,177
balloon,73
doubt,283
boy,1978
step,548
roll,308
sweet,600
mamas,6
beds,54
mama,261
cents,84
enchanting,6
scene,479
coney,4
island,859
lily,105
clytie,1
nighties,1
hey,6423
free,1101
tightwad,1
loosen,29
lads,107
tumble,15
target,210
grew,274
white,1169
beard,37
couldn,7
net,93
run,1750
babe,176
ruth,91
dare,209
knock,285
dames,7
bunks,3
overlook,10
carrot,17
top,1216
shape,221
attaboy,11
wants,1131
papa,232
somebody,1129
packs,22
regular,362
shut,954
wrap,75
story,1309
whale,48
grasshopper,11
laughed,37
meself,22
blaming,26
oyster,56
loaf,8
ordered,240
milk,163
hot,937
mustard,33
pepper,63
sugar,169
brains,123
tick,39
tip,153
tongue,121
given,909
knows,978
color,482
china,379
whole,1512
cheating,66
smear,17
bait,51
across,671
clean,512
shell,121
lucky,486
hearing,217
such,2473
lips,105
women,1293
corpse,44
dearie,3
afraid,835
remember,1867
scab,9
thrown,86
brig,33
cow,86
met,965
likes,309
pure,142
choke,33
gullet,3
darling,477
frightened,104
recognized,156
stepped,68
responsible,335
kicked,121
wharf,13
rat,137
ly,6
insulting,18
toddling,2
friendly,175
gent,6
hope,1238
bothered,43
ann,107
skipper,11
quarter,172
month,551
pleasure,313
lonesome,19
sometimes,855
sad,283
wanting,109
putting,321
tests,178
boys,967
grow,277
alive,580
last,3353
few,1630
outside,910
ships,232
passing,164
treating,59
afternoon,325
meaning,301
crank,16
asking,501
gone,1287
marrying,72
may,3542
stopping,99
stop,2723
each,1825
throats,9
pair,226
dogs,232
truth,806
against,1887
heart,1115
feeling,665
wife,1681
cows,62
wearing,427
rearing,4
children,1208
stumpy,3
runt,4
blather,2
ought,290
quicker,35
clout,4
knocked,137
howling,24
murder,628
best,2372
youth,250
windjammer,1
hundred,377
storms,41
steamers,4
deck,116
mud,70
scow,4
below,299
wagon,56
ashore,22
throwing,128
insults,10
stokehold,2
worth,520
squareheads,1
shipped,39
windbag,2
irish,290
swine,26
baboon,5
irishman,14
grandchildren,31
jackasses,1
childish,18
play,1676
knives,29
sense,596
chair,248
fighting,389
promised,282
laid,186
teeth,185
true,1109
says,1261
wondering,208
use,2073
different,1417
praised,57
loved,467
grand,629
beautiful,1082
fair,467
loser,111
mend,10
sun,518
shining,39
asked,904
wedded,20
heard,1463
kissed,76
knew,1470
joke,269
joking,65
mad,442
sudden,161
often,778
figure,567
has,8823
listening,245
filling,56
lies,302
believe,2468
butting,7
beginning,445
held,819
surprised,239
reason,811
heaven,241
minds,90
drove,151
dress,324
dressing,68
win,798
anyway,950
spite,61
orders,241
wasting,81
blazes,9
piece,560
furniture,100
loose,174
goat,44
forced,304
into,5437
mattering,1
stick,403
owns,83
excepting,5
boss,571
pipe,86
raise,249
rumpus,4
sounded,93
rough,194
drive,708
anyone,1131
none,512
keeping,247
count,464
dressed,191
tried,864
changed,598
meeting,619
afterwards,127
stuck,268
sized,44
believing,67
ashamed,78
bawling,8
goods,135
curse,106
drinking,272
shipping,52
saints,61
driving,306
disgracing,1
h,624
foggy,12
feels,288
bawl,4
fixed,155
sign,602
londonderry,5
sail,79
cape,125
town,1625
tomorrow,1160
booze,70
longer,517
kicking,77
deserve,205
rub,55
earth,753
signed,534
far,1125
africa,309
accuse,25
stood,154
strike,260
prove,311
swear,330
oath,47
terrible,378
fearful,11
soul,380
warning,141
hears,34
blackest,3
pity,109
treachery,6
swearing,18
catholic,278
cross,529
difference,316
killing,375
blast,92
shipmates,2
boatswain,2
leaving,672
runs,323
somewhere,499
grandchild,10
riding,147
foot,286
twins,69
religion,240
damned,60
entirely,152
agreeing,32
sport,236
morning,1655
kitty,98
isaac,100
tommy,367
susan,264
daddy,625
wake,392
alright,402
ma,731
thomas,661
school,2791
wink,17
child,781
suck,129
thumb,46
suzie,11
sweetie,237
cos,124
breakfast,228
pants,238
hidden,173
tattletale,11
mutt,13
hurting,84
which,6871
hanging,197
tail,152
mommy,222
wild,335
indian,342
til,34
washed,52
tuck,35
shirt,227
bow,94
twin,137
tie,233
shoes,249
neck,259
washes,9
hurts,135
soap,88
close,1155
nose,213
rinse,9
ahead,654
eaten,88
meal,116
grace,267
lunch,407
baskets,7
egg,159
heavenly,62
sanctify,2
nourishment,4
body,1301
careful,414
dear,836
books,489
kitchen,317
cap,105
left,2504
sticking,40
isabelle,41
phil,192
catch,438
bell,352
bye,1065
eat,836
green,619
aples,1
railroad,143
crossing,101
teacher,302
miss,1733
mary,575
load,121
certainly,399
line,1665
mrs,1089
shelby,32
mr,3851
nelson,166
quite,882
accident,366
judging,44
wash,136
sewing,35
machine,406
hiring,39
tannery,1
reading,308
paper,461
pay,1074
leather,78
expensive,145
anybody,739
unless,477
admit,287
besides,289
government,1306
dollar,132
dollars,344
receipt,41
thank,4081
bits,67
tobacco,46
counted,43
become,911
therefore,259
proportion,36
product,182
divided,147
extreme,112
equal,128
proportional,28
figures,147
exactly,1028
called,2279
similar,438
distance,255
circle,147
circumference,9
drawn,126
centre,356
deteminated,1
diameter,63
radius,40
drawing,108
measuring,29
several,1130
circles,55
dividing,15
seventh,141
blackboard,5
class,1259
demonstration,52
theorem,29
seats,170
draw,240
brother,1276
remain,248
whip,63
whipping,10
drop,499
jam,55
floor,502
whipped,32
spoil,42
sassing,1
thou,55
shalt,19
gods,167
graven,6
memory,276
lord,815
thy,74
vain,30
sabbath,13
holy,330
honour,188
upon,498
thee,76
commit,102
adultery,10
steal,206
bear,354
false,146
witness,217
covet,1
neighbor,82
commandments,11
learned,280
sunday,238
rich,465
bigger,253
carriage,46
ride,453
owned,313
daylight,41
grey,145
hair,622
creak,7
amount,238
sent,804
grocery,40
wheeler,43
spoke,193
bill,534
worry,995
howard,192
bundle,19
sowing,3
early,1523
missing,500
slept,140
hour,771
ironing,6
artist,360
nonsense,90
gadgets,20
reach,314
sentimental,24
concerned,222
star,547
bethlehem,9
crying,310
engaged,188
glasses,139
modest,29
congratulations,243
tremendous,46
surprise,347
everybody,1111
wish,783
mighty,100
intend,81
probably,1219
spring,325
account,285
lined,62
yet,1424
deliver,150
happiest,28
describe,117
pride,114
happiness,98
whatever,977
rob,130
greatest,294
consolation,16
seeks,32
weary,16
travelers,8
seeking,85
shelter,72
inn,81
bids,11
welcome,718
gun,809
ben,642
hubby,5
adams,89
potter,92
known,1953
attention,475
behave,73
folks,224
winner,341
state,2076
uses,267
nifty,19
judgement,21
bows,8
needs,727
boxes,65
les,182
effort,179
tom,541
jerry,362
cold,539
arrived,300
warm,204
humour,32
disappointed,87
phyllis,32
sends,64
secret,563
eight,680
fatal,41
plunge,13
mistakes,80
stops,157
reno,16
circus,72
clowns,34
merry,141
christmas,524
butcher,29
business,1593
baloney,7
street,977
shopping,158
set,1367
grove,67
acme,2
paint,143
company,1406
camouflage,10
car,1998
works,930
covered,332
hours,1009
push,263
minnie,10
tree,299
diamond,107
ring,429
plans,345
sitting,356
imagine,318
light,946
bright,176
wishing,32
level,644
proud,305
trap,119
snappy,20
road,1131
angus,33
cedars,4
garage,112
mac,116
truck,265
trace,97
unload,18
shots,152
decoy,30
smells,87
bother,225
strawberries,14
dessert,61
closet,81
grabbing,20
pails,1
delightful,33
performance,485
oaken,1
bucket,43
iron,164
bound,127
moss,43
hangs,31
strowberries,1
raspberries,2
perfectly,201
santa,221
claus,68
stocking,16
starving,63
sits,60
next,2088
serious,610
jail,284
fooling,33
police,1317
caught,391
liquor,41
attic,42
bedroom,151
disgrace,35
officer,559
shot,1002
upstairs,252
arrested,286
bail,69
charge,491
sins,44
fainted,27
lawyer,308
shielding,9
understand,1795
foolish,62
gamble,59
future,513
jobs,153
convicted,77
comitted,1
crime,413
listened,63
ye,83
sow,16
reap,8
bars,97
dice,27
juice,98
electricity,102
experiments,80
hi,1835
noise,162
everytime,8
ask,1694
manage,166
busy,372
realize,302
prettier,19
everyday,53
behaviour,74
waited,111
telephoned,6
pillow,59
cup,646
coffee,446
hollow,105
legs,235
encouraging,30
honey,1080
hunch,38
apple,72
cupboard,26
case,1462
questions,499
settled,156
seattle,114
fare,60
part,2354
looked,529
fellows,55
ducked,5
stores,127
gate,181
hollered,3
jailbird,5
millionaire,26
black,1159
cloud,103
answer,657
event,455
pass,528
worried,350
gosh,122
page,248
ad,145
washing,48
method,175
contrast,76
stoop,9
costs,140
phone,1259
roof,186
girlfriends,48
sunbath,1
allow,351
wanted,2013
telephone,174
spied,5
snooping,17
cause,1441
choose,215
between,2248
relatives,69
nuisance,18
anxious,54
moved,734
apartment,330
losing,297
shop,296
eating,246
meat,179
diet,71
keeps,256
broke,471
fire,1154
delivery,177
sensible,32
picks,42
ok,1518
gladly,22
buck,89
handle,425
bike,82
junior,258
harry,485
bicycle,42
foolishness,9
peace,430
window,346
sister,900
rose,263
pickles,10
preserve,50
helped,323
preserves,15
nervous,226
lately,159
wall,464
grandma,124
uncle,463
aunt,189
drops,65
party,1629
firm,242
expect,473
places,430
begged,23
county,1335
tax,219
payer,2
anywhere,396
entitled,137
consideration,49
nagging,8
enjoying,92
flowers,229
breeze,32
passed,358
attractive,144
peaceful,60
contented,1
blessing,39
peculiar,36
condition,214
attendance,69
evil,381
saw,1747
insisted,49
rawlins,9
happening,386
drag,121
oughtta,2
funniest,14
lordy,15
master,578
strut,13
peek,22
closed,418
tight,219
luckiest,8
wedding,421
penguin,36
antarctic,37
million,901
penguins,52
colony,75
gadabout,1
walk,843
creature,97
deny,101
maids,18
charming,94
facts,127
indicate,66
ii,737
fuss,38
date,827
dumb,162
lf,76
lots,225
hearts,96
filled,182
bliss,38
coo,3
cuddle,15
eternal,52
complete,420
moses,46
cookies,56
virgie,30
james,752
henry,603
harold,76
wipe,78
chin,46
portion,97
ice,505
cream,201
gladys,46
coax,4
cake,178
philip,179
perhaps,658
seems,765
reached,322
instead,558
roundabout,6
perfect,658
hostess,21
takes,636
failing,63
common,586
parents,667
everyone,1115
billy,482
dance,615
dancing,238
stays,79
gumption,1
sally,149
anne,203
dinah,4
returns,122
doll,101
mammy,34
nicest,19
present,774
indeed,237
thoughtful,36
low,541
britches,2
cary,49
fort,242
sumter,3
fired,245
war,1767
declared,147
armory,12
immediately,346
horse,482
sidearms,1
richmond,63
graves,52
report,610
city,2301
nightfall,14
valley,292
hurrah,10
reckon,77
soldiers,260
mobilizing,5
carriages,14
quickly,371
jimmy,186
mammies,1
em,1102
battles,51
guns,414
truly,168
gentleman,150
north,1530
slaves,103
soldier,153
army,820
halt,50
march,1137
yankees,58
starts,292
liable,19
budge,9
speck,6
powerful,275
whenever,170
whether,453
winter,212
summer,563
shivering,9
sweatin,3
troops,256
startin,4
truthful,12
taught,262
confederate,43
rebel,64
spunk,4
nevertheless,65
manners,45
slingshot,8
dixie,19
hooray,25
dixieland,4
south,1755
enemy,226
territory,198
captured,164
lines,305
dangerous,324
special,874
prayer,89
yesterday,367
started,1158
daytime,22
prayed,38
twice,344
today,1820
tears,100
joy,268
southerners,4
raindrops,5
sunshiny,1
aww,28
ohh,203
rosabelle,16
practice,411
towel,43
massa,51
thunk,1
polish,228
winning,350
mm,1084
share,351
twilight,55
sing,331
pretend,150
humming,55
aw,197
fill,202
saddlebags,2
oats,5
stables,26
faster,200
coast,343
sheridan,30
camping,62
general,1206
lee,517
scouting,17
expeditions,16
spy,100
dispatches,2
yankee,47
uniform,124
prisoner,146
trade,313
nearly,348
stock,163
stolen,182
saved,335
knowing,200
pushed,113
wonder,450
lazy,38
jackass,24
stable,122
comin,93
smile,194
fat,308
river,992
mill,145
hide,302
woods,138
seth,51
turning,198
main,792
corn,112
barn,70
missa,9
somethin,130
fightin,8
southern,459
aahh,1
hiding,205
lives,763
husband,916
search,327
barnes,89
lorny,1
robinson,92
lower,387
mason,157
deploy,20
nothin,130
cepting,1
cider,10
dark,473
trapdoors,2
panels,19
houses,233
pitcher,51
slipped,73
tray,28
sergeant,231
nearby,199
wet,122
watered,9
minutes,1176
turned,588
rush,208
near,907
ifhe,1
trapdoor,4
under,2467
glued,11
panel,78
babies,145
excited,206
hams,1
cooked,79
yourselves,120
ah,1373
scuppers,1
rascal,13
tan,86
gad,2
touch,540
shove,43
ya,603
madam,149
command,403
table,562
threw,176
stairs,115
loot,13
lieutenant,337
harte,4
lashes,8
bleeds,4
investigate,89
dudley,27
climbing,44
chimney,28
scout,81
neighborhood,189
question,834
occurred,146
necessary,240
corral,8
mile,254
shows,448
signs,155
ofhaving,1
ridden,16
sharpshooters,3
cover,596
banks,173
godsend,6
necessity,21
staying,267
countermand,1
camp,367
pasture,17
shells,49
droppin,2
yard,194
quarters,87
firing,94
important,1093
gotten,187
fought,209
burned,140
coughing,110
gettin,105
complain,53
cheerful,18
comfort,81
absence,74
logs,12
brush,56
float,50
past,761
union,540
camps,59
chickahominy,1
swamp,19
daybreak,4
climb,97
trees,199
housework,9
quiet,407
cryin,8
kinda,196
slip,105
sleeps,22
dug,55
hole,311
walks,101
heap,16
runnin,18
falls,223
praise,55
shh,301
brave,103
dreams,242
darlings,9
dreamed,45
tales,85
ill,145
discouraged,8
suffer,108
patrol,123
cabins,16
hmm,1115
whopper,2
doin,254
mouth,406
organ,71
wood,282
move,1545
concert,200
littlest,6
interesting,388
dances,38
gentlemen,461
kept,458
age,1091
pony,31
center,1183
tracks,352
ceiling,59
haven,56
pistol,31
arrange,72
arrest,294
papers,208
colonel,407
bury,86
bid,84
return,659
fit,252
mended,6
stole,215
country,1208
expects,25
chances,110
honor,459
nicer,19
headed,219
pickaninny,3
yanks,10
recognize,169
whoa,836
beyond,323
morrison,39
mister,144
plantation,29
noon,77
using,780
artillery,193
regiment,342
nd,386
vermont,54
camped,14
fib,9
sin,75
intention,87
greensburg,4
miles,509
whose,466
friend,1756
seat,414
armed,169
follow,565
appeal,119
denied,102
court,910
martial,73
upheld,8
th,2787
dawn,173
messages,89
especially,485
appreciate,316
literally,142
innocent,227
major,1036
evidence,578
overcome,40
fact,895
hoped,95
regrets,15
names,387
picked,301
whoever,193
talkin,109
thinkin,30
bout,99
spent,527
shorter,50
clothes,337
locked,247
hint,40
lovely,391
sewed,7
robin,191
sweep,49
becoming,292
housewife,15
candy,131
yank,19
grown,168
ups,66
spare,128
switch,164
missy,18
washington,427
colored,87
tall,153
toes,50
size,584
brung,4
virginia,209
president,1057
nicely,46
van,433
allen,146
prison,448
shoot,546
kindly,46
gray,132
burnt,45
medicine,220
garret,10
talked,339
caroline,71
taken,828
cannons,12
shook,29
john,2127
courier,33
grant,242
fears,44
gim,68
ambrose,9
butch,18
bath,173
settles,16
robbers,10
baths,43
robber,18
sissy,10
ha,916
mon,81
ahem,44
pal,212
cootie,4
hill,378
uh,4309
stagecoach,14
lookout,28
er,325
scram,7
swag,5
bag,446
mom,1503
scrub,22
band,1121
continues,455
ends,234
hawaiian,17
records,623
murders,85
result,412
violence,235
bloodstains,4
amos,11
andy,228
chuckle,21
unusual,147
study,486
bloodstain,3
helpful,54
reconstruction,55
demonstrate,39
eyedropper,1
falling,179
round,957
greater,205
exhibit,50
sunburst,3
effect,251
observe,49
forward,427
knife,153
mark,581
dope,52
avalanche,104
mackerel,4
melbourne,93
sweepstakes,3
radio,754
charlie,543
pop,510
interrupt,87
wrecking,22
explain,469
mystery,145
plank,8
dough,32
nag,5
schnozola,1
bookies,3
smackers,1
mack,48
loan,177
owe,235
gravy,21
smart,392
fly,410
correction,30
owner,239
kent,115
reckless,17
gambler,30
schnozalola,1
gathered,73
sporting,58
australian,319
turf,31
bugle,10
calling,495
aristocracy,9
turfdom,1
field,760
entry,140
list,846
equaled,2
during,2463
race,626
gunsmith,4
flying,279
scotchman,6
stardust,20
collins,81
saddle,23
george,878
chester,74
internationally,37
sportsman,7
u,1212
justice,330
raising,83
animal,300
grab,266
regret,102
generous,93
impulse,20
clever,120
truthfully,10
dad,1972
spoken,127
advise,45
racing,199
barely,158
bets,55
placed,245
bruce,205
odds,108
fell,391
collect,98
chuckles,694
confident,61
thousand,344
denny,11
manonp,4
reaching,95
rail,143
cutting,149
reputation,137
actor,378
shirttail,3
quieted,3
crowd,207
cheering,224
announcer,146
lead,677
closing,122
length,240
ace,172
gaining,39
fouled,5
insane,149
deliberately,37
jockey,32
office,1218
bobtail,1
cards,244
player,832
deal,1074
wiser,13
trained,184
bagley,10
slight,57
purposely,5
paid,475
suspended,77
further,580
alternative,177
disqualify,5
feather,23
brained,4
blind,204
foul,43
tickets,151
split,278
ways,310
measly,5
ruled,110
track,822
pockets,51
following,1174
instructions,95
lay,346
gambling,93
bottom,307
races,200
fortune,129
scandal,39
reflect,56
personally,154
cable,95
chan,109
mixed,258
details,191
honolulu,24
press,535
investigation,257
fenton,28
playing,1095
dynamite,40
monkeying,1
situation,392
cool,744
odd,136
circumstance,9
unfortunate,56
convenient,32
suspicious,77
suspicion,36
rate,271
lap,156
oceanic,8
docking,21
singing,432
knocking,153
steward,36
whistle,97
blows,100
cooped,7
tone,129
doctor,1576
marks,220
evident,19
hoof,11
prints,77
deeply,142
indented,3
aboard,134
examine,68
proper,174
alice,287
join,408
secretary,331
also,5235
string,124
bought,361
australia,483
improving,36
dr,1630
thorough,30
examination,62
unnecessary,38
questioning,61
idiotic,12
criticize,10
difficult,352
correct,196
inspect,14
stall,49
permission,145
blusters,1
temper,56
whinnies,22
streamline,12
monkey,147
chatters,3
lollipop,17
mascot,40
gallant,33
lad,129
detective,421
cop,347
position,754
honorable,36
yonder,17
groans,281
aging,18
greatly,69
cooperation,72
narrow,95
width,778
impossible,292
obvious,143
backward,43
kicks,49
exclamation,2
pointed,86
toward,174
rear,190
attempt,223
deception,20
borrow,113
fountain,47
pen,115
chattering,190
manner,95
pet,101
murderer,96
crush,69
heavy,347
weapon,232
noble,127
fantastic,170
absurd,29
hoofs,1
indicated,68
screeching,105
confounded,3
pester,2
interruption,12
senses,28
rivalry,27
excellent,231
analysis,160
preposterous,9
thousands,201
usually,555
liberty,116
borrowing,15
clanks,6
clutch,20
control,936
winch,7
cargo,83
stalls,12
identical,64
horseshoe,5
proof,191
continue,307
bags,131
jack,824
aloha,15
b,1473
badly,125
apology,74
bird,284
nest,76
occur,94
person,1138
check,1017
passengers,114
gangplank,2
reveal,93
bump,62
enter,227
juanita,4
handicap,21
desk,202
stamped,17
envelope,58
blurred,7
stubbornness,3
retire,44
blake,157
insist,69
extra,330
guard,317
precaution,20
frequent,48
spanking,8
view,396
familiar,176
decided,532
ling,25
suggestion,61
mentioned,253
outfit,111
disguise,45
worthy,55
whistles,58
edge,211
uneven,7
scissors,15
writer,461
eliminate,43
trademark,27
watermark,6
e,1400
clogged,6
r,960
above,474
written,624
cinch,5
pursuit,53
duty,269
obligation,28
humble,45
marriage,489
betting,38
thrill,26
feed,188
wishes,85
lounge,28
locking,23
accent,78
solly,9
velly,2
downstair,1
catchee,4
scat,6
chop,70
typing,26
faint,40
girlfriend,350
