word1	word2	headline	joke
know	anita	-	I know Anita. He asked, How? I replied, Not well enough.
thank	founded	-	I thank the man who founded the complaint department. When asked why, I said, Because I've got a lot to thank him for—my job security.
look	published	-	You look like you just published your first paper—confused but proud.
wait	named	-	Wait, named streets… my GPS is laughing at me.
thing	design	-	The thing about design is that it always looks good—until I try to make it.
thank	planet	-	Thank you, planet, for rotating so my bad days eventually end. ​
sure	louis	-	You sure Louis is coming? Last time he arrived in the credits.
wait	began	-	Wait—it began. I asked, What? He replied, My regret.
know	seasons	-	I know the seasons change, but my mood refuses.
thanks	change	-	Thanks for change. It never comes. We're stuck. Forever.
thank	culture	-	Thank culture for context. We're drowning in reference frames. Context doesn't help.
born	wrong	-	I wasn’t born wrong—I just updated incorrectly.
could	span	-	I could span that gap, but my legs filed a complaint.
mean	elected	-	What do you mean elected? We chose this. Voting is democracy's way of sharing blame.
right	becoming	-	You’re right, becoming an adult is mostly confusion with bills.
know	appearing	-	I know you're appearing here. He asked, Is that a problem? I replied, Yes.
look	northern	-	Look northern lights… mostly on Instagram.
need	division	-	I need long division like I need more stress.
sure	august	-	You sure August isn’t secretly 60 days long?
know	provides	-	I know this service provides value, but my wallet disagrees.
first	gentlemen	-	First of all, gentlemen… who ate my fries?
first	chuckling	-	First—chuckling started. Then stopped. Laughter's expiration date: immediate.
thank	member	-	Thank you for being a member of my chaos support group.
really	property	-	Are you really concerned about property? It owns you too. It's a reciprocal prison arrangement.
money	july	-	Where did all my money go? July. That's the only explanation—July stole it.
think	saint	-	I think saints have better patience than me.
want	spot	-	Where do you want to spot? I said, The nearest exit. He replied, That's not a spot, that's a escape plan.
thank	computer	-	Thank you, computer, for updating exactly when there was no time for it. ​
else	service	-	Everything else is a service. We're customers of chaos. Very inclusive business model.
right	educated	-	You’re right, she’s educated—her sarcasm has a degree.
please	army	-	Please don’t send me to the army—I can’t even march emotionally.
talking	september	-	We're talking about September. I said, Why? He replied, Because we're bored.
make	gallery	-	I tried to make a gallery wall but created a gallery disaster.
room	league	-	My room is so messy it could join a whole new league.
sure	period	-	I'm sure this is final, period—until they ask for revisions. ​
something	arrived	-	Something arrived. Unwanted. Timing: terrible. Permanence: assumed.
look	medical	-	Look—medical proof that we're dying. Very thorough documentation of failure.
know	narrow	-	You know the street is narrow when two cars meet and both immediately start praying. ​
born	exactly	-	You were born exactly on time; your punctuality since then is another story. ​
close	doctor	-	Get close to the doctor. I said, Why? He replied, So he can tell you you're fine.
call	became	-	I made one call and suddenly became the family tech support forever.
less	thank	-	Less thanks from people. More gratitude from silence. Empty spaces are honest.
please	marriage	-	Please remember, marriage is not a bug fix for your personality. ​
something	academy	-	Something at the academy taught me how to fake confidence professionally.
born	laughs	-	I was born laughing. He asked, Why? I replied, At the joke that is life.
wait	cause	-	Wait, cause or effect? Either way, snacks.
sure	production	-	I'm sure this production is professional; the chaos behind the scenes says otherwise. ​
paul	something	-	Paul did something… probably harmless, but suspicious anyway.
-	-	Biden COVID Coordinators Leaving, To Be Replaced By Ashish Jha	Biden's COVID team's leaving. 'These people can't win, let's try someone new.'
-	-	The Denver Broncos' Historic Purchase Could Increase Number Of Minority-Owned NFL Teams	Money talks—and so do the Broncos' new owners.
-	-	Jennifer Lopez Introduces Child Emme With They/Them Pronouns Before Sweet Duet	JLo introduced her kid with pronouns—and everyone had opinions.
-	-	Mar-A-Lago Search Affidavit: Trump Was Insecurely Storing Most Sensitive Intel At Club	He stored classified docs like someone stores old magazines—except way more illegal.
-	-	Gov. Greg Abbott Says Texas Will Bus Undocumented Immigrants To D.C.	Abbott said he'll bus immigrants to DC—that's a political stunt nobody asked for.
-	-	Phil Mickelson Grilled On If He Cares About Being Seen As A 'Saudi Stooge'	Phil got called a Saudi stooge—and he's still defending the check.
-	-	'Doctor Strange' Remains Atop Box Office As 'Top Gun' Looms	Doctor Strange is still winning—but Top Gun's coming for him.
-	-	Zelenskyy Asked For More Lethal Aid, No-Fly Zone In Call With U.S. Congress	Zelenskyy asked Congress for weapons and a no-fly zone. He's basically asking 'fight with us.'
-	-	Slain Al Jazeera Journalist Was Icon Of Palestinian Coverage	An Al Jazeera journalist was killed—that's a loss.
-	-	Woody Harrelson Reacts To Viral Photo Of Doppelgänger Baby With Sweet Poem	He met his twin—in baby form—and responded with poetry.
-	-	This Is The Bittersweet Part Of Democrats' Sweet Legislative Victory	They won the battle but the war's still raging—classic Democrat moment.
-	-	Texas Sues Biden Administration For Right To Deny Life-Saving Abortions	Texas is suing for the right to let women die—that's the health care they want.
-	-	Pakistan Flooding Deaths Pass 1,000 In 'Climate Catastrophe'	The water's rising and so is the death toll—climate change isn't waiting for anyone.
-	-	Florence Pugh Calls Out 'Horrible' Reaction To Her Rumored Breakup With Zach Braff	Florence called out the breakup reaction—turns out people cared too much.
-	-	The Funniest Tweets From Parents This Week (June 25-July 1)	Parents' tweets are hilarious—because they're sleep-deprived and honest.
-	-	Trump's Latest Boast Gets Brutal Fact-Check From His Own Niece	His niece fact-checked him—family's the harshest critics and also the most credible.
-	-	The Best Foods To Eat If You're Hungry At Night	Midnight snacks matter—because 3 AM regrets come with full stomachs.
-	-	Nikole Hannah-Jones At 2022 NAACP Image Awards: 'Our History Is Being Attacked'	Nikole said our history's under attack. She's right—books are being banned.
-	-	Keanu Reeves, The Internet's Boyfriend, Still Going Strong With Girlfriend Alexandra Grant, Pics Show	Keanu's still with Alex—the internet collectively nodded in approval.
-	-	Nerf Reveals Its New Mascot, And Its Monstrous Look Is Turning Heads	Nerf's new mascot is ugly—and Twitter won't stop talking about it.
-	-	Kim Jong Un Rallies Behind North Korea's Weapons Buildup	Kim Jong Un loves weapons—because missiles are cheaper than actually feeding people.
-	-	Video Shows NFL Player Hopping Into Stands To Stop Fighting Fans	He took 'fan engagement' to a literal new level.
-	-	NYC Police Search For Suspect Who Shot 2 Sleeping Homeless Men, One Fatally	Someone shot sleeping homeless guys. We're literally hunting people for sport now.
-	-	Markwayne Mullin Wins Oklahoma Republican Primary To Succeed GOP Sen. Jim Inhofe	With a name like Markwayne he was destined for Oklahoma politics.
-	-	American Man Sentenced To Death In China For Killing Ex-Girlfriend	An American got the death sentence in China—that's terrifying and also a reminder of how fragile your rights are overseas.
-	-	Biden To Travel To Europe For NATO Summit On Russia's War On Ukraine	Biden's going to Europe for a NATO summit. That's basically saying 'we need backup for this Russia thing.'
-	-	GOP Sen. Rick Scott's Lies About His Own Policy Get Called Out On Fox News	A Republican got fact-checked by Fox. That's when you know you're BAD.
-	-	Democrats Have Little Time To Avert An Election-Eve Obamacare Premium Hike	Democrats are racing against the clock on healthcare—that's normal.
-	-	Man Accused Of Stuffing Grandmother In Freezer To Die	A guy allegedly stuffed his grandma in a freezer—that's not elder abuse, that's horror movie material.
-	-	Kate McKinnon Breaks Silence On Reason Behind 'SNL' Exit: 'My Body Was Tired'	She left SNL because her body got tired—fair after decades of sketches.
-	-	Broncos Make History After Being Sold For Record $4.65 Billion	That's a lot of money for a team that can't even score consistent touchdowns.
-	-	Biden To Visit Poland, A Complex Ally On Ukraine's Doorstep	Biden's visiting Poland. That's diplomacy while pretending to care.
-	-	Spirituality Has A New Face — And It's Queer As Hell	Religion's changing—and it's finally getting fabulous.
-	-	Deshaun Watson Settles With NFL For 11-Game Suspension	He got 11 games for 24 accusations—math doesn't add up but here we are.
-	-	Cole Sprouse's Naked Butt Is All It's Cracked Up To Be In Goofy Instagram	Cole posted his butt—and the internet's opinion is split between 'why?' and 'thanks.'
-	-	Netflix Co-CEO Backs Dave Chappelle, Says Programs Are 'Not Going To Be For Everybody'	Netflix defended Chappelle—basically saying 'yeah, some people will hate this.'
-	-	'Saturday Night Live' Co-Head Writer Michael Che Says He's Leaving 'Weekend Update'	Michael Che's leaving Update. Good luck, SNL—you're gonna need it.
-	-	The Funniest Tweets From Parents This Week (May 7-13)	Parents' tweets were gold—survival humor is an art form.
-	-	Gubernatorial Races More Important Than Ever With Roe v. Wade On The Chopping Block	Governor races matter now—because suddenly state power matters when you're about to lose your rights.
-	-	Fire Training, Equipment Lacking At U.S. Nuclear Dump: Report	A nuclear dump's missing fire training and equipment—nothing says 'we have it under control' like being unprepared at a nuclear facility.
look	series	-	Look, series are fun… until binge-watching destroys sleep.
years	coffee	-	Years pass, coffee remains loyal.
please	york	-	Please don’t judge New York by the subway at rush hour; judge it by the pizza after. ​
good	companies	-	Good companies hire talent; great ones hire snack suppliers.
shall	john	-	Shall I introduce you to John? He said, Please don't. I replied, Too late.
come	journalist	-	Come see journalist. They're documenting our failure. For posterity.
hang	anything	-	Hang anything. It falls anyway. Physics of consequences. Very thorough.
late	believe	-	I’m late, believe me—it’s a fashionably late excuse.
hello	february	-	Hello February… bring more snacks.
give	league	-	Give me the league title… or at least a participation ribbon.
know	voivodeship	-	I know about voivodeships. He asked, Really? I replied, No, but it sounds important.
wrong	league	-	You got it all wrong. I'm in a completely different league. She said, I know—I've seen you play. I replied, The minor leagues of failure.
know	taylor	-	I know Taylor writes break-up songs, but even she couldn’t describe my relationship with math.
come	annual	-	Come to the annual meeting… bring snacks.
think	available	-	I think I’m available tomorrow, unless future-me schedules a nap.
right	rico	-	You’re right, Rico—the chocolate is dangerously close.
know	transfer	-	I know transfer is tricky… especially with files and feelings.
scared	made	-	I’m scared of what I made—it’s definitely not A-grade material.
tonight	named	-	Tonight you're named. Tomorrow, forgotten. The circle of celebrity.
lost	hello	-	I said 'hello' to my GPS, but even it thinks I’m lost.
good	information	-	That's good information. I said, Is it? He replied, No, but it sounded nice.
please	december	-	Please make December longer; I need more holiday and less responsibility.
guess	band	-	Guess what band I like. I guessed. He said, Wrong. I asked, How wrong? He said, Completely.
friend	population	-	My friend’s popularity increased the population of my anxiety.
mind	group	-	Never mind the group, I'll just do it myself and be angry. ​
well	bleep	-	Well, that was a bleep of a situation. ​
look	previously	-	Look, we previously tried that solution; it failed with enthusiasm. ​
look	england	-	Look, if I go to England, I’m bringing an umbrella and zero expectations of sunshine.
something	military	-	Something military-related happened… mostly in my imagination.
love	railway	-	I love the railway—especially the snack carts.
right	teams	-	You’re right, teams are chaos factories.
would	keeps	-	This would be easier if my browser keeps not crashing. ​
think	october	-	I think October is just fall showing off its color palette.
well	numbered	-	How well are you numbered? I asked, What does that mean? He said, Your days.
know	included	-	"I know I’m included in the plan when they say, ""Don’t worry, you’re bringing the snacks."" ​"
want	region	-	What region do you want? He said, Any region without you.
could	eric	-	Could Eric do that? I said, Eric could do lots of things. He asked, Like what? I said, Probably leave.
thank	international	-	Thank the international students—they bring snacks from everywhere.
come	located	-	"People come to my house, located ""just five minutes away,"" which is local code for at least twenty. ​"
know	loose	-	I know someone loose. He asked, Loose how? I replied, With their standards.
anything	released	-	Did anything get released? Mainly pressure. We're deflating slowly. Controlled descent.
happened	food	-	What happened to the food? My stomach knows.
anything	river	-	I’d do anything to swim this river… but only in my dreams.
course	london	-	Of course London is there. I asked, Where else would it be? He replied, Gone, hopefully.
right	meets	-	You're right where you meets failure. I asked, Every time? He replied, Always.
want	joined	-	I want to be joined by snacks, not responsibilities.
sure	field	-	I’m sure this isn’t my field, but thanks for the opportunity to be confused professionally. ​
mean	line	-	I didn’t mean to cut the line; it just happened magically.
life	chuckles	-	Life chuckles every time I make plans.
want	races	-	I want races—ideally between me and my deadlines (deadline always wins).
something	mouth	-	Something in my mouth? Yes, it’s my emergency chocolate.
first	angry	-	First angry customer? That’s me before coffee.
enough	london	-	Enough London trips—bring me home cookies.
please	april	-	Please tell April to stop pranking us with fake sunshine.
time	whoa	-	Every time I check the clock I’m like ‘whoa, time actually moved today.’
come	chairman	-	People come for the snacks and leave knowing the chairman’s entire life story. ​
think	association	-	I think the association only meets to discuss snacks.
come	century	-	I’ll come visit in a century—plenty of time to prepare.
right	chick	-	You’re right, chickens love my leftover crumbs.
going	complex	-	Where's this going? Complex. Everything's complex when you're running from simple truths.
thanks	whatever	-	Thanks for whatever this is. He asked, Is that gratitude? I replied, It's confusion.
little	elected	-	I got a little elected—mostly by default.
pretty	became	-	That became pretty complicated. I asked, How? He said, By existing.
took	hear	-	I took a moment to hear my thoughts—big mistake.
listen	ship	-	Listen—the ship is sinking. Everyone pretends it's fine. Social etiquette at its finest.
tell	size	-	Tell size doesn’t matter? Lies. Especially for desserts.
good	include	-	That's good—include everyone. Now we're all collectively failing. Democratic despair.
good	joined	-	It’s good you joined us—now we can blame you too.
trip	mean	-	This trip means something. I asked, What? He replied, That you leave.
girl	using	-	The girl is using me. I said, For what? She replied, Nothing good.
fine	began	-	I’m fine—then the chaos began.
thing	average	-	The thing about average is that everyone's above it. Statistically impossible. Welcome to delusion.
know	defendant	-	I know the defendant. They're guilty. Of existing. Of trying. Both punishable.
know	initially	-	I know initially I had a plan, but then life happened.
please	recorded	-	Please tell me this was recorded. I said, Why? He replied, So I have proof this happened.
four	laughs	-	It took four laughs to realize the joke wasn’t even funny.
right	samuel	-	Samuel said he was always right—so everyone else left.
thank	coast	-	Thank the coast for existing. It's just waiting for sea level to fix this.
back	description	-	Get back in the description. That's where you belong—hypothetically.
hello	shall	-	Hello—shall we begin? Pretending. Yes. Let's start the show.
really	refer	-	I really didn’t refer to you… this time.
know	library	-	I know the library is quiet, but my stomach refuses to whisper.
listen	behind	-	Listen behind you… your snacks might disappear.
hello	truth	-	Hello truth—please be gentle, I’m fragile.
kidding	place	-	Are you kidding? This place screams chaos.
hello	exactly	-	Hello, exactly what I wanted to hear at 6 AM on Monday. ​
want	degrees	-	What do you want? Degrees. Circles of paper certifying confusion at different levels.
know	forest	-	I know the forest is dense… my GPS disagrees.
anything	march	-	I’d do anything to survive March—it’s chaos season.
know	volume	-	I know the volume is low, but my anxiety says it's too loud.
well	lied	-	Well, I lied—I didn’t start the assignment.
thought	span	-	I thought this span was eternal. He said, It ends soon. I replied, Thank goodness.
want	southern	-	I want southern food, but my diet says ‘don’t even think about it.’
want	berlin	-	I want Berlin—preferably for the chocolate.
come	southern	-	Come to the southern side—we have better food.
told	ladies	-	I told the ladies something. They listened politely. He asked, What did you say? I replied, Nothing they remember.
talk	history	-	Talk history? Sure—but I’ll mostly talk about my own mistakes.
someone	king	-	Someone called me a king. I asked, Who? He replied, Nobody of importance.
every	hurt	-	Every time I stub my toe, my pride hurts more than my foot.
right	oliver	-	You’re right, Oliver, asking for more is fair when the first portion was mostly garnish. ​
mean	arrived	-	I didn’t mean harm; it just arrived uninvited.
good	pacific	-	That's a good Pacific—until you realize it's just a bigger puddle of regret. Geography with attitude problems.
born	built	-	I was born built for failure. The architects knew what they were doing.
finish	life	-	I’ll finish it later—said everyone, moments before life intervened.
think	festival	-	I think festivals are fun… until the parking lot attacks.
thank	century	-	I’d thank the 14th century for inventing cool stuff, but my message would take a few centuries to deliver.
going	outta	-	I'm going outta. Mind. Time. Space. Directions are unclear now.
really	designed	-	This app was really designed to help productivity, yet somehow it only boosts procrastination. ​
someone	august	-	Someone called me 'August' because apparently I'm too hot for any other month.
right	netherlands	-	You're right about the Netherlands. I asked, What am I right about? He said, That it exists.
going	included	-	I wasn’t going to join, but FOMO included me automatically.
really	available	-	"It’s really available in stores now, which is marketing speak for ""good luck finding it."" ​"
said	card	-	He said pick a card—my GPA said pick a miracle.
going	england	-	Going to England—mostly for the tea and snacks.
held	thank	-	He held the door, so I said thank you like a startled cat.
know	grade	-	I know my grade—it's crying somewhere in the corner.
side	married	-	On the bright side, married life comes with shared snacks.
want	alan	-	I want Alan… to share snacks politely.
guess	stop	-	I guess stop signs are suggestions anyway.
back	highest	-	Get back at the highest level. I asked, How? He replied, By being better than everyone.
place	chief	-	This place appointed me chief of minor disasters.
come	arts	-	Come to the arts festival, or just pretend via Instagram.
baby	shut	-	When the baby said 'shut up,' everyone froze except the grandma—she said 'finally, someone gets me.'
blood	south	-	Blood runs south. Gravity works with disappointment. They're collaborating.
thanks	album	-	Thanks for the album. He said, You're welcome. I replied, I wasn't done—thanks for finally leaving.
know	filmography	-	I know her filmography—she’s the queen of dramatic exits.
right	statement	-	You’re right, that statement is technically correct and emotionally devastating. ​
something	brothers	-	Something about brothers—they share everything except snacks.
know	nope	-	I know the answer… nope, still confused.
know	silver	-	I know silver linings exist, but sometimes they’re on backorder.
want	spanish	-	I want Spanish lessons… but my tongue objects violently.
know	thankyou	-	I know thankyou—it's a typo for 'thank yourself.' Gratitude is self-directed these days.
sure	spanish	-	Are you sure about Spanish? It's beautiful language for expressing complex failures. Eloquent despair.
first	fellas	-	First fellas arrived… all for cookies.
know	spread	-	You know the rumor spread when even your mom knows it. ​
fine	wish	-	I'm fine—I wish. Lying is a hobby now. Very committed hobby.
right	salad	-	You’re right, salad is healthy—but sadness tastes better.
need	arrested	-	We need arrested—for crimes against progress. The bail hearing is decades long.
right	convince	-	You’re right, convincing me to exercise is impossible.
help	christian	-	Help, Christian! The snacks are disappearing mysteriously.
-	-	Helmet Worn By Amelia Earhart Sells For $825,000 At Auction	Amelia Earhart's helmet sold for $825k. That's historical nostalgia paying.
-	-	Ukraine: 9,000 Of Its Troops Killed Since Russia Began War	That's 9000 reasons why this war should never have started.
-	-	Ryan Gosling Gets Ken-ified In First Look At Bleach Blond 'Barbie' Transformation	Ryan went full platinum Ken—he's either hilarious or the sexiest thing ever.
-	-	Herschel Walker Says There Are 52 States	Herschel said 52 states—math isn't his strong suit apparently.
-	-	Californian Charged With Making Violent, Anti-Trans Threats Against Merriam-Webster	Someone threatened Merriam-Webster over trans definitions—that's insane and also a level of stupid we didn't know existed.
-	-	A Fisherman Thought He Caught A Rock. He Snagged A Prehistoric Treasure Instead.	He was fishing for dinner and caught history—talk about a big catch.
-	-	DC Police Find 5 Fetuses In Home Of Anti-Abortion Activist Lauren Handy	Police found fetuses in an anti-abortion activist's home. That's irony so thick it needs a lawyer.
-	-	Jon Stewart To Receive Mark Twain Prize For American Humor	Jon's getting the Twain Prize—that's comedy's ultimate honor because he's the real deal.
-	-	57 Votes in the Senate: Enough For Private Equity, Not Enough For Diabetics	The Senate's priorities are diabetes-clear—and it's not helping diabetics.
-	-	Boris Johnson Offers 'Wholehearted Apology' Over 'Partygate'	Boris apologized for parties during lockdown—that's the weakest apology ever, it's like 'I'm sorry I got caught.'
-	-	UN Says Reproductive Health Is Condition For Equality Amid Global Women's Rights Pushback	The UN said women need reproductive healthcare—and somehow that's controversial. The UN basically had to tell world leaders 'women are humans, too.'
-	-	Fuel Leak Ruins NASA's 2nd Shot At Launching New Moon Rocket	NASA's rocket had one job—and it couldn't even hold its fuel together.
-	-	Michael Jackson's Kids Paris And Prince Pay Tribute To Dad At Tony Awards	MJ's kids paid tribute at the Tonys—that's like getting roasted by your own legacy.
-	-	7 Coffee Alternatives To Try If Caffeine Makes You Jittery	Seven coffee alternatives—for people who hate coffee but love caffeine.
-	-	Sarah Palin Is Running For Congress In Alaska	Sarah Palin's running for Congress. Alaska's saying 'remember the chaos? Let's bring it back.'
-	-	COVID-19 Cases, Deaths Continue To Drop Globally, WHO Says	COVID's dropping globally. Cool, except it's still killing people.
-	-	Yolanda Hadid Returns To Social Media After 9-Month Break For Depression, Lyme Relapse	She took time for herself—proving that even supermodels need to heal.
-	-	Biden Announces New Gun Control Rule, ATF Nominee	Biden announced gun control—that's nice but also Congress will probably kill it.
-	-	Fox News' Ketanji Brown Jackson Coverage Melts 'Daily Show' Comedian's Mind	Fox's Jackson coverage was racist theater. The Daily Show had to cover it.
-	-	MSNBC Names Rachel Maddow's Successor: Alex Wagner	Wagner's taking over—and Maddow's finally getting a break.
-	-	Trump Tells Member Of Gays For Trump At Mar-a-Lago: 'You Don't Look Gay'	Trump told a gay guy 'you don't look gay.' That's rich coming from a guy with spray tan and a hair situation.
-	-	CDC Drops Some Quarantine, Screening Recommendations For COVID-19	The CDC's finally saying it's okay to come out—just in time for the next variant.
-	-	Supreme Court Revives Fight Over Painting Stolen By Nazis	The Supreme Court's arguing about Nazi-stolen art—meanwhile the real question is why we're still giving the Supreme Court anything to decide.
-	-	Syria Denies It Is Holding American Journalist Austin Tice	They're denying it so hard you know it's probably true.
-	-	Pro-Irish Unity Party Sinn Fein Celebrates Historic Northern Ireland Win	Sinn Féin won big in Northern Ireland—Irish reunification suddenly went from 'someday maybe' to 'holy shit, it might actually happen.'
-	-	The Snubs And Surprises Of The 2022 Emmy Nominations	The Emmys snubbed people—and Reddit lost its mind immediately.
-	-	Clash Gives Blessing To Song Retooling For Gut-Wrenching Ukrainian Resistance Anthem	The Clash blessed a Ukrainian war song. That's punk rock meeting reality.
-	-	This Breastfeeding Condition Makes Moms Feel Dread, Disgust And Despair	Motherhood: where even feeding your baby comes with side effects nobody warned you about.
-	-	Vivica A. Fox Unloads On Jada Pinkett Smith For 'No Accountability' In Slap	Vivica called out Jada—that Oscars slap keeps giving.
-	-	New Jersey Governor Announces Proposals To Expand Abortion Access In The State	New Jersey's expanding abortion access—that's how you do it.
-	-	'No City Anymore': Mariupol Survivors Flee On Train To Safety	Survivors fled Mariupol. 'Yeah, we're leaving—this place is gone.'
-	-	Volcano Near Iceland's Main Airport Erupts Again	Iceland's volcano is playing repeat—and the airport's paying the price.
-	-	Pope Makes Easter Plea For Ukraine Peace, Cites Nuclear Risk	The Pope begged for Ukraine peace at Easter—that's religious desperation meeting geopolitical reality.
-	-	How A Crowded GOP Field Could Bolster A Trump 2024 Campaign	More Republicans mean more chaos—which is Trump's natural habitat.
-	-	Filmmaker John Waters Complains Trump Forever Ruined Bad Taste	John Waters says Trump ruined bad taste—that's the ultimate insult from the patron saint of bad taste.
-	-	U.S. Indictment Details Russian Efforts To Hack Worldwide Energy Sector	Russians tried to hack the power grid. That's terrorism with a keyboard.
-	-	Outraged Matthew McConaughey Begs For Commonsense Gun Laws At White House	McConaughey begged for gun laws—that's the most Texas thing ever.
